price,room,bathroom,surface,link,property_type,city,zone
970000.0,3.0,2.0,98.0,https://www.avito.ma/fr/massira_1/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Temara_56770719.htm,Appartements , Temara,Massira 1
940000.0,1.0,1.0,65.0,https://www.avito.ma/fr/quartier_du_parc/appartements/Coup_de_C_ur___Charmant_Studio_%C3%A0_Vendre_56587639.htm,Appartements , Mohammedia,Quartier du Parc
3750000.0,4.0,1.0,,https://www.avito.ma/fr/centre_ville/villas_et_riads/Villa_bien_situ%C3%A9e__id%C3%A9ale_pour_vos_projets_56355538.htm,Villas et Riads , Mohammedia,Centre Ville
320000.0,2.0,1.0,80.0,https://www.avito.ma/fr/ksar_el_kebir/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Ksar_el_Kebir_56790994.htm,Appartements , Ksar el-Kebir,Toute la ville
1210000.0,2.0,2.0,86.0,https://www.avito.ma/fr/mimosas/appartements/Appartement_%C3%A0_vendre_86_m%C2%B2_%C3%A0_Mansouria_56725130.htm,Appartements , Mohammedia,Mimosas
810000.0,,,,https://immoneuf.avito.ma/fr/unite/yV0?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
1620000.0,3.0,2.0,194.0,https://www.avito.ma/fr/al_boustane/villas_et_riads/_1_er_%C3%A9tage_Villa_avec_hammam_baladi_%C3%A0_vendre__56372652.htm,Villas et Riads , El Jadida,Al Boustane
2400000.0,3.0,2.0,161.0,https://www.avito.ma/fr/moujahidine/appartements/appartement_meuble_a_vendre_quartier_moudjahidine__54862695.htm,Appartements , Tanger,Moujahidine
1350000.0,,,,https://immoneuf.avito.ma/fr/unite/4jf?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
2370000.0,2.0,2.0,100.0,https://www.avito.ma/fr/hay_riad/appartements/Appartement_88_m%C2%B2__habitable__49798613.htm,Appartements , Rabat,Hay Riad
230000.0,,,,https://immoneuf.avito.ma/fr/unite/jKa?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
2400000.0,4.0,2.0,104.0,https://www.avito.ma/fr/lissasfa/maisons/CMN_HA_1802___Maison_%C3%A0_vendre_%C3%A0_Florida_56689319.htm,Maisons , Casablanca,Lissasfa
320000.0,2.0,1.0,60.0,https://www.avito.ma/fr/sidi_othmane/appartements/appartement_et_garage__%D9%87%D9%88%D8%AA%D8%A9__56790970.htm,Appartements , Casablanca,Sidi Othmane
1250000.0,3.0,2.0,147.0,https://www.avito.ma/fr/autre_secteur/appartements/FES_AG_1058___Appartement_%C3%A0_vendre_%C3%A0_Hay_Al_Azhar_56516036.htm,Appartements , Fès,Autre secteur
930000.0,,,,https://immoneuf.avito.ma/fr/unite/jU2?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
650000.0,2.0,1.0,75.0,https://www.avito.ma/fr/sidi_rahal/appartements/appartement_%C3%A0_vendre_%C3%A0_Ritaj_Beach_56790961.htm,Appartements , Sidi Rahal,Toute la ville
2320000.0,,,,https://immoneuf.avito.ma/fr/unite/9rq?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
600000.0,2.0,1.0,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Tanger_56790954.htm,Appartements , Tanger,Autre secteur
850000.0,3.0,3.0,,https://www.avito.ma/fr/bouskoura_centre/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Casablanca_55997669.htm,Appartements , Bouskoura,Bouskoura centre
550000.0,1.0,1.0,47.0,https://www.avito.ma/fr/ain_sebaa/appartements/Studio_de_47_m%C2%B2_%C3%A0_vendre_%C3%A0_ain_sebaa_56512484.htm,Appartements , Casablanca,Ain Sebaa
920000.0,,,,https://immoneuf.avito.ma/fr/unite/YcX?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
1350000.0,2.0,2.0,,https://www.avito.ma/fr/sidi_rahal/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Sidi_Rahal_56790948.htm,Appartements , Sidi Rahal,Toute la ville
1850000.0,5.0,4.0,,https://www.avito.ma/fr/riad_toulal/villas_et_riads/Villa_%C3%A0_Vendre_%C3%A0_Mekn%C3%A8s_Quartier_Riad_Toulal_56619100.htm,Villas et Riads , Meknès,Riad Toulal
520000.0,4.0,1.0,120.0,https://www.avito.ma/fr/ourika/maisons/Maison_%C3%A0_vendre_%C3%A0_Ourika__Tnine_Ourika__56746312.htm,Maisons , Ourika,Toute la ville
1125000.0,,,,https://immoneuf.avito.ma/fr/unite/BuZ?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
430000.0,2.0,2.0,80.0,https://www.avito.ma/fr/massira_2/appartements/Appartement_%C3%A0_vendre_52_%C3%A0_80_m%C2%B2_%C3%A0_Temara_29806108.htm,Appartements , Temara,Massira 2
1500000.0,2.0,2.0,,https://www.avito.ma/fr/gauthier/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Gauthier_Casablanca_56723374.htm,Appartements , Casablanca,Gauthier
4200000.0,2.0,1.0,70.0,https://www.avito.ma/fr/cap_de_l_eau/appartements/Cap_De_Leau_Belle_Appartement_%C3%A0_vendre_60_m%C2%B2__56777224.htm,Appartements , Cap de l'eau,Toute la ville
420000.0,,,,https://immoneuf.avito.ma/fr/unite/LrE?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
1690000.0,2.0,2.0,116.0,https://www.avito.ma/fr/hay_rajaa/appartements/Duplex_%C3%A0_vendre__56709255.htm,Appartements , Casablanca,Hay Rajaa
2850000.0,3.0,3.0,,https://www.avito.ma/fr/alliance/villas_et_riads/villa_%C3%A0_vendre__56738199.htm,Villas et Riads , Kénitra,alliance
2140000.0,,,,https://immoneuf.avito.ma/fr/unite/4j3?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
1250000.0,,,160.0,https://www.avito.ma/fr/autre_secteur/appartements/Charmant_Appartement_160m%C2%B2___55969969.htm,Appartements , Kénitra,Autre secteur
7800000.0,5.0,3.0,,https://www.avito.ma/fr/harhoura/villas_et_riads/Superbe_Villa_%C3%A0_Harhoura___Luxe_et_Espace_56380838.htm,Villas et Riads , Temara,Harhoura
1500000.0,2.0,2.0,,https://www.avito.ma/fr/gauthier/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Gauthier_Casablanca_56723374.htm,Appartements , Casablanca,Gauthier
4200000.0,2.0,1.0,70.0,https://www.avito.ma/fr/cap_de_l_eau/appartements/Cap_De_Leau_Belle_Appartement_%C3%A0_vendre_60_m%C2%B2__56777224.htm,Appartements , Cap de l'eau,Toute la ville
1690000.0,2.0,2.0,116.0,https://www.avito.ma/fr/hay_rajaa/appartements/Duplex_%C3%A0_vendre__56709255.htm,Appartements , Casablanca,Hay Rajaa
900000.0,,,,https://immoneuf.avito.ma/fr/unite/KcF?utm_source=avito_integration&utm_medium=listing_integration,Immobilier neuf , Casablanca,
